Editeur,Profil,Zone,Lieu_edition,Premiere_annee,Derniere_annee,Annees_actives,Titres
Robert Laffont,Ponctuel,Urbain,"Montréal, Québec",2018,2019,2,4
TNT,Ponctuel,Urbain,"Montréal, Québec",2001,2018,3,4
Éditions du Passage,Ponctuel,Urbain,"Montréal, Québec",2007,2015,3,4
Éditions du Québécois,Ponctuel,Régions,"Drummondville, Québec",2007,2011,3,4
Éditions du Wampum,Ponctuel,Régions,"Saint-Narcisse, Québec",2018,2020,3,4
273,Ponctuel,Régions,"Saint-Apollinaire, Québec",2014,2016,2,3
Balzac,Ponctuel,Urbain,"Montréal, Québec",2000,2001,2,3
C. Rousseau,Ponctuel,Régions,"Sherbrooke, Québec",2003,2011,3,3
Cardinal,Ponctuel,Urbain,"Montréal, Québec",2013,2020,2,3
Dialogue Nord-Sud,Ponctuel,Urbain,"Montréal, Québec",2012,2014,3,3
Espoir,Ponctuel,Régions,"Chicoutimi, Québec",2007,2009,2,3
Grahel,Ponctuel,Banlieue,"Deux-Montagnes, Québec",2010,2014,3,3
Grenier,Ponctuel,Urbain,"Montréal, Québec",2008,2009,2,3
Hibiscus,Ponctuel,Urbain,"Québec, Québec",2008,2011,3,3
Onyx,Ponctuel,Régions,"Saguenay, Québec",2012,2012,1,3
Pochette,Ponctuel,Banlieue,"Varennes, Québec",2017,2017,1,3
Presses de l'Université Laval,Ponctuel,Urbain,"Québec, Québec",2015,2020,2,3
Samsarah Rainbow Planet,Ponctuel,Banlieue,"Saint-Jean-sur-Richelieu, Québec",2001,2002,2,3
Wilson & Lafleur,Ponctuel,Urbain,"Montréal, Québec",2007,2013,3,3
Z'ailées,Ponctuel,Urbain,"Montréal, Québec",2007,2009,2,3
Éditions nouvelles,Ponctuel,Urbain,"Montréal, Québec",2005,2008,3,3
3 sista,Ponctuel,Régions,"Gaspé, Québec",2014,2016,2,2
42e parallèle,Ponctuel,Urbain,"Montréal, Québec",2003,2004,2,2
5 Continents,Ponctuel,Urbain,"Montréal, Québec",2000,2011,2,2
ATMA internationales,Ponctuel,Urbain,"Sainte-Foy, Québec",2005,2005,1,2
Aetios,Ponctuel,Urbain,"Montréal, Québec",2010,2010,1,2
Amérik média,Ponctuel,Urbain,"Montréal, Québec",2008,2008,1,2
Bellarmin,Ponctuel,Urbain,"Montréal, Québec",2009,2009,1,2
Bertrand Dumont,Ponctuel,Banlieue,"Boucherville, Québec",2011,2011,1,2
Caractère,Ponctuel,Urbain,"Montréal, Québec",2006,2007,2,2
Faye,Ponctuel,Banlieue,"Lévis, Québec",2001,2003,2,2
Feuille-T-on,Ponctuel,Urbain,"Montréal, Québec",2003,2003,1,2
Fond'tonne,Ponctuel,Régions,"Sherbrooke, Québec",2015,2016,2,2
Francine Breton,Ponctuel,Urbain,"Montréal, Québec",2000,2001,2,2
Hannenorak,Ponctuel,Banlieue,"Wendake, Québec",2017,2019,2,2
L'Archipel,Ponctuel,Urbain,"Montréal, Québec",2015,2019,2,2
L'Ardoise,Ponctuel,Urbain,"Québec, Québec",2001,2007,2,2
L'Avantage,Ponctuel,Régions,"Rimouski, Québec",2007,2011,2,2
La Petite barque,Ponctuel,Régions,"Tingwick, Québec",2016,2018,2,2
Le Murmure,Ponctuel,Régions,"Joliette, Québec",2002,2010,2,2
Losanges,Ponctuel,Régions,"Sainte-Agathe, Québec",2000,2005,2,2
Louise Courteau,Ponctuel,Régions,"Saint-Zénon, Québec",2006,2009,2,2
Mains libres,Ponctuel,Urbain,"Montréal, Québec",2021,2021,1,2
Maxime,Ponctuel,Urbain,"Montréal, Québec",2001,2002,2,2
ND,Ponctuel,Banlieue,"Varennes, Québec",2019,2019,1,2
Point du jour,Ponctuel,Banlieue,"L'Assomption, Québec",2010,2014,2,2
Remue-ménage,Ponctuel,Urbain,"Montréal, Québec",2018,2020,2,2
Sabotart,Ponctuel,Urbain,"Montréal, Québec",2015,2017,2,2
Sarrazin,Ponctuel,Régions,"Granby, Québec",2014,2014,1,2
Somme toute,Ponctuel,Urbain,"Montréal, Québec",2015,2016,2,2
Transit,Ponctuel,Urbain,"Montréal, Québec",2010,2011,2,2
Typo,Ponctuel,Urbain,"Montréal, Québec",2004,2010,2,2
Valiquette,Ponctuel,Banlieue,"Beloeil, Québec",2000,2002,2,2
Écosociété,Ponctuel,Urbain,"Montréal, Québec",2004,2009,2,2
Édimag,Ponctuel,Urbain,"Montréal, Québec",2004,2006,2,2
Éditions de l'Exil,Ponctuel,Régions,"Saint-Élie-de-Caxton, Québec",2013,2017,2,2
Éditions de la Maison en feu,Ponctuel,Urbain,"Montréal, Québec",2021,2021,1,2
Éditions du Grand ruisseau,Ponctuel,Régions,"Québec, Québec",2013,2015,2,2
Éditions du Lilas,Ponctuel,Régions,"Vallée-Jonction, Québec",2003,2010,2,2
Éditions du Méridien,Ponctuel,Urbain,"Montréal, Québec",2002,2005,2,2
Éditions du Quai penché,Ponctuel,Régions,"Saint-Jean-Port-Joli, Québec",2016,2017,2,2
Éditions du Refus,Ponctuel,Banlieue,"Laval, Québec",2009,2011,2,2
Académie Impact,Ponctuel,Banlieue,"Lac-Beauport, Québec",2005,2005,1,1
Archambault,Ponctuel,Urbain,"Montréal, Québec",2009,2009,1,1
Ascension,Ponctuel,Urbain,"Québec, Québec",2003,2003,1,1
Association nationale des éditeurs de livres (ANEL),Ponctuel,Urbain,"Montréal, Québec",2016,2016,1,1
Belleprée,Ponctuel,Régions,"Sainte-Adèle, Québec",2003,2003,1,1
Broquet,Ponctuel,Banlieue,"Saint-Constant, Québec",2004,2004,1,1
Chapytre premier,Ponctuel,Urbain,"Montréal, Québec",2004,2004,1,1
Cogito,Ponctuel,Urbain,"Montréal, Québec",2011,2011,1,1
Cruciforme,Ponctuel,Urbain,"Montréal, Québec",2012,2012,1,1
DAMI,Ponctuel,Urbain,"Montréal, Québec",2009,2009,1,1
Eucalyptus,Ponctuel,Banlieue,"Laval, Québec",2009,2009,1,1
Glanures,Ponctuel,Régions,"Shawinigan, Québec",2000,2000,1,1
Glénat,Ponctuel,Urbain,"Montréal, Québec",2008,2008,1,1
Initiales,Ponctuel,Urbain,"Montréal, Québec",2000,2000,1,1
Isaac Anaïs,Ponctuel,Banlieue,"Terrebonne, Québec",2010,2010,1,1
J'ai vu,Ponctuel,Urbain,"Québec, Québec",2011,2011,1,1
J.N.,Ponctuel,Régions,"Batiscan, Québec",2017,2017,1,1
Jean Robert,Ponctuel,Banlieue,"Saint-Jean-sur-Richelieu, Québec",2009,2009,1,1
KATA,Ponctuel,Urbain,"Montréal, Québec",2021,2021,1,1
LOBO,Ponctuel,Régions,"Saint-Hyacinthe, Québec",2021,2021,1,1
La Galère,Ponctuel,Régions,"Trois-Rivières, Québec",2015,2015,1,1
La Morue Verte,Ponctuel,Régions,"Îles-de-la-Madeleine, Québec",2013,2013,1,1
La Note verte,Ponctuel,Régions,"Maniwaki, Québec",2018,2018,1,1
La Tournure,Ponctuel,Urbain,"Montréal, Québec",2020,2020,1,1
La traversée,Ponctuel,Urbain,"Montréal, Québec",2012,2012,1,1
Le Blanc cahier,Ponctuel,Urbain,"Montréal, Québec",2018,2018,1,1
Le Laps,Ponctuel,Urbain,"Montréal, Québec",2014,2014,1,1
Le Lézard amoureux,Ponctuel,Urbain,"Québec, Québec",2005,2005,1,1
Le grand fleuve,Ponctuel,Banlieue,"Laval, Québec",2000,2000,1,1
Les Chemins obscurs,Ponctuel,Urbain,"Montréal, Québec",2016,2016,1,1
Les malins,Ponctuel,Urbain,"Montréal, Québec",2010,2010,1,1
Les Écrits d'or,Ponctuel,Régions,"Gatineau, Québec",2000,2000,1,1
Les Écrits d'à côté,Ponctuel,Urbain,"Québec, Québec",2016,2016,1,1
Lescop,Ponctuel,Urbain,"Montréal, Québec",2001,2001,1,1
Liber,Ponctuel,Urbain,"Montréal, Québec",2021,2021,1,1
Linda Leith,Ponctuel,Urbain,"Montréal, Québec",2016,2016,1,1
Lux,Ponctuel,Urbain,"Montréal, Québec",2002,2002,1,1
MP Tresart,Ponctuel,Régions,"Durham-Sud, Québec",2017,2017,1,1
Magique futur,Ponctuel,Régions,"Stanstead, Québec",2012,2012,1,1
Michel Gosselin,Ponctuel,Régions,"Rouyn-Noranda, Québec",2021,2021,1,1
Michel Lafon,Ponctuel,Urbain,"Montréal, Québec",2019,2019,1,1
Montréal,Ponctuel,Urbain,"Montréal, Québec",2007,2007,1,1
Moult éditions,Ponctuel,Urbain,"Montréal, Québec",2016,2016,1,1
Mélibée,Ponctuel,Urbain,"Montréal, Québec",2016,2016,1,1
Novalis,Ponctuel,Urbain,"Montréal, Québec",2007,2007,1,1
Nuit blanche,Ponctuel,Banlieue,"Mirabel, Québec",2018,2018,1,1
Papier plume,Ponctuel,Banlieue,"Lac-Beauport, Québec",2012,2012,1,1
Performance,Ponctuel,Banlieue,"Longueuil, Québec",2015,2015,1,1
Planète Rebelle,Ponctuel,Urbain,"Montréal, Québec",2000,2000,1,1
Planète rebelle,Ponctuel,Urbain,"Montréal, Québec",2000,2000,1,1
Pratico Édition,Ponctuel,Urbain,"Québec, Québec",2021,2021,1,1
Prefi,Ponctuel,Banlieue,"Longueuil, Québec",2005,2005,1,1
Presses Panafricaines,Ponctuel,Urbain,"Montréal, Québec",2017,2017,1,1
Presses du Méridien,Ponctuel,Banlieue,"Saint-Lambert, Québec",2018,2018,1,1
Presses libres,Ponctuel,Urbain,"Montréal, Québec",2012,2012,1,1
Publistar,Ponctuel,Urbain,"Montréal, Québec",2013,2013,1,1
Pépin,Ponctuel,Banlieue,"Longueuil, Québec",2002,2002,1,1
Pérégrine,Ponctuel,Urbain,"Montréal, Québec",2004,2004,1,1
Rebis,Ponctuel,Régions,"Sainte-Agathe, Québec",2000,2000,1,1
Requiem pour un livre,Ponctuel,Urbain,"Montréal, Québec",2012,2012,1,1
Saint-Léger,Ponctuel,Urbain,"Québec, Québec",2016,2016,1,1
Salem,Ponctuel,Urbain,"Montréal, Québec",2004,2004,1,1
Sans fin,Ponctuel,Urbain,"Montréal, Québec",2018,2018,1,1
Sarrazine,Ponctuel,Urbain,"Montréal, Québec",2013,2013,1,1
Sisyphe,Ponctuel,Urbain,"Montréal, Québec",2007,2007,1,1
Tamam,Ponctuel,Urbain,"Montréal, Québec",2015,2015,1,1
Teichtner,Ponctuel,Banlieue,"Laval, Québec",2004,2004,1,1
Textes et contextes,Ponctuel,Régions,"Sainte-Adèle, Québec",2014,2014,1,1
Trécarré,Ponctuel,Urbain,"Montréal, Québec",2005,2005,1,1
Victor et Anaïs,Ponctuel,Banlieue,"Candiac, Québec",2020,2020,1,1
Vox populi,Ponctuel,Banlieue,"Pincourt, Québec",2012,2012,1,1
dhArt,Ponctuel,Urbain,"Québec, Québec",2014,2014,1,1
Éditions d'Orphée,Ponctuel,Urbain,"Montréal, Québec",2001,2001,1,1
Éditions d'art le Sabord,Ponctuel,Régions,"Trois-Rivières, Québec",2002,2002,1,1
Éditions de l'Intemporel,Ponctuel,Urbain,"Montréal, Québec",2010,2010,1,1
Éditions de la Noraye,Ponctuel,Régions,"Lanoraie, Québec",2010,2010,1,1
Éditions de la Tournure,Ponctuel,Urbain,"Montréal, Québec",2015,2015,1,1
Éditions des Glanures,Ponctuel,Régions,"Shawinigan, Québec",2000,2000,1,1
Éditions du Bouclier,Ponctuel,Régions,"Chicoutimi, Québec",2021,2021,1,1
Éditions du Crépuscule,Ponctuel,Régions,"Sainte-Marthe-du-Cap, Québec",2011,2011,1,1
Éditions du Détour,Ponctuel,Banlieue,"Mont-Saint-Hilaire, Québec",2005,2005,1,1
Éditions du Silence,Ponctuel,Urbain,"Montréal, Québec",2001,2001,1,1
Éditions du Soleil de minuit,Ponctuel,Régions,"Saint-Damien-de-Brandon, Québec",2005,2005,1,1
Éditions du Verseau,Ponctuel,Urbain,"Montréal, Québec",2009,2009,1,1
